Date : 2025-09-13 15:30:23
Directory : /home/david/workspace/GenFlow
Total : 374 files,  44189 codes, 113 comments, 2632 blanks, all 46934 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         55 |     28,522 |         11 |         56 |     28,589 |
| TypeScript         |        151 |     11,473 |         65 |      1,894 |     13,432 |
| TypeScript JSX     |         59 |      1,967 |         12 |        278 |      2,257 |
| Python             |         28 |        540 |          2 |        179 |        721 |
| JSON with Comments |         15 |        481 |          8 |         24 |        513 |
| Protocol Buffers   |          6 |        478 |          0 |         75 |        553 |
| YAML               |         23 |        466 |          4 |         29 |        499 |
| XML                |         28 |         98 |          0 |         28 |        126 |
| Markdown           |          3 |         72 |          0 |         46 |        118 |
| JavaScript         |          3 |         46 |          9 |          9 |         64 |
| PostCSS            |          1 |         28 |          1 |          9 |         38 |
| JavaScript JSX     |          1 |         14 |          0 |          5 |         19 |
| Ignore             |          1 |          4 |          1 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        374 |     44,189 |        113 |      2,632 |     46,934 |
| . (Files)                                                                                                                         |          9 |     27,698 |          5 |         73 |     27,776 |
| compose                                                                                                                           |         22 |        309 |          0 |         17 |        326 |
| compose (Files)                                                                                                                   |         12 |        158 |          0 |          0 |        158 |
| compose/infra                                                                                                                     |          4 |         47 |          0 |          1 |         48 |
| compose/logs                                                                                                                      |          6 |        104 |          0 |         16 |        120 |
| compose/logs (Files)                                                                                                              |          5 |         96 |          0 |         13 |        109 |
| compose/logs/datasources                                                                                                          |          1 |          8 |          0 |          3 |         11 |
| libs                                                                                                                              |         45 |      8,360 |         42 |      1,097 |      9,499 |
| libs/proto                                                                                                                        |         22 |      7,920 |         41 |        984 |      8,945 |
| libs/proto (Files)                                                                                                                |          4 |         33 |          0 |          5 |         38 |
| libs/proto/src                                                                                                                    |         18 |      7,887 |         41 |        979 |      8,907 |
| libs/proto/src/auth                                                                                                               |          3 |        753 |          6 |        107 |        866 |
| libs/proto/src/genworker                                                                                                          |          3 |      2,147 |         11 |        253 |      2,411 |
| libs/proto/src/project                                                                                                            |          3 |      2,138 |          6 |        256 |      2,400 |
| libs/proto/src/socketio                                                                                                           |          3 |        350 |          6 |         51 |        407 |
